feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,33234,x,33234,x,35213,x,35213,x,-1979,x,-1979,x
ohne Wahlschein,23856,71.8,23856,71.8,28507,81,28507,81,-4651,-9.2,-4651,-9.2
mit Wahlschein,9378,28.2,9378,28.2,6706,19,6706,19,2672,9.2,2672,9.2
Wählende,20055,60.3,20055,60.3,22419,63.7,22419,63.7,-2364,-3.3,-2364,-3.3
darunter Briefwählende,8472,42.2,8472,42.2,6161,27.5,6161,27.5,2311,14.8,2311,14.8
Abgegebene Stimmen,20039,x,20043,x,22393,x,22409,x,-2354,x,-2366,x
Ungültige Stimmen,214,1.1,165,0.8,375,1.7,347,1.5,-161,-0.6,-182,-0.7
Gültige Stimmen,19825,98.9,19878,99.2,22018,98.3,22062,98.5,-2193,0.6,-2184,0.7
SPD,3696,18.6,3346,16.8,4833,22,4391,19.9,-1137,-3.3,-1045,-3.1
CDU,3783,19.1,3572,18,2256,10.2,2070,9.4,1527,8.8,1502,8.6
GRÜNE,3296,16.6,3443,17.3,2208,10,2153,9.8,1088,6.6,1290,7.6
DIE LINKE,5399,27.2,4355,21.9,7223,32.8,6504,29.5,-1824,-5.6,-2149,-7.6
AfD,2172,11,2127,10.7,3744,17,3585,16.2,-1572,-6,-1458,-5.5
FDP,x,x,599,3,651,3,656,3,-651,-3,-57,0
Die PARTEI,x,x,449,2.3,x,x,635,2.9,x,x,-186,-0.6
Tierschutzpartei,1051,5.3,706,3.6,x,x,533,2.4,1051,5.3,173,1.1
PIRATEN,x,x,94,0.5,617,2.8,478,2.2,-617,-2.8,-384,-1.7
Graue Panther,x,x,108,0.5,x,x,249,1.1,x,x,-141,-0.6
NPD,x,x,21,0.1,x,x,169,0.8,x,x,-148,-0.7
Gesundheitsforschung,x,x,81,0.4,x,x,172,0.8,x,x,-91,-0.4
LKR,26,0.1,10,0.1,x,x,103,0.5,26,0.1,-93,-0.4
DKP,x,x,65,0.3,x,x,111,0.5,x,x,-46,-0.2
SGP,x,x,22,0.1,x,x,70,0.3,x,x,-48,-0.2
BüSo,x,x,9,0,x,x,26,0.1,x,x,-17,-0.1
B*,x,x,23,0.1,x,x,x,x,x,x,23,0.1
ÖDP,x,x,18,0.1,x,x,x,x,x,x,18,0.1
dieBasis,176,0.9,106,0.5,x,x,x,x,176,0.9,106,0.5
Bildet Berlin!,x,x,23,0.1,x,x,x,x,x,x,23,0.1
Die Grauen,x,x,104,0.5,x,x,x,x,x,x,104,0.5
du.,x,x,51,0.3,x,x,x,x,x,x,51,0.3
BÜNDNIS21,x,x,19,0.1,x,x,x,x,x,x,19,0.1
FREIE WÄHLER,226,1.1,81,0.4,x,x,x,x,226,1.1,81,0.4
Klimaliste Berlin,x,x,79,0.4,x,x,x,x,x,x,79,0.4
MIETERPARTEI,x,x,73,0.4,x,x,x,x,x,x,73,0.4
Die Humanisten,x,x,43,0.2,x,x,x,x,x,x,43,0.2
Team Todenhöfer,x,x,47,0.2,x,x,x,x,x,x,47,0.2
Volt,x,x,204,1,x,x,x,x,x,x,204,1
Sonstige,x,x,x,x,486,2.2,157,0.7,x,x,x,x
