feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,30734,x,30734,x,30787,x,30787,x,-53,x,-53,x
ohne Wahlschein,19199,62.5,19199,62.5,22320,72.5,22320,72.5,-3121,-10,-3121,-10
mit Wahlschein,11535,37.5,11535,37.5,8467,27.5,8467,27.5,3068,10,3068,10
Wählende,21057,68.5,21057,68.5,22466,73,22466,73,-1409,-4.5,-1409,-4.5
darunter Briefwählende,10425,49.5,10425,49.5,7883,35.1,7883,35.1,2542,14.4,2542,14.4
Abgegebene Stimmen,21038,x,21038,x,22421,x,22413,x,-1383,x,-1375,x
Ungültige Stimmen,133,0.6,109,0.5,287,1.3,279,1.2,-154,-0.6,-170,-0.7
Gültige Stimmen,20905,99.4,20929,99.5,22134,98.7,22134,98.8,-1229,0.6,-1205,0.7
SPD,4297,20.6,4315,20.6,5678,25.7,4916,22.2,-1381,-5.1,-601,-1.6
CDU,8088,38.7,7431,35.5,6334,28.6,5411,24.4,1754,10.1,2020,11.1
GRÜNE,4209,20.1,3859,18.4,3520,15.9,3412,15.4,689,4.2,447,3
DIE LINKE,977,4.7,1177,5.6,1409,6.4,1586,7.2,-432,-1.7,-409,-1.5
AfD,1070,5.1,1124,5.4,2305,10.4,2393,10.8,-1235,-5.3,-1269,-5.4
FDP,1256,6,1681,8,2467,11.1,3121,14.1,-1211,-5.1,-1440,-6.1
Die PARTEI,384,1.8,234,1.1,x,x,220,1,384,1.8,14,0.1
Tierschutzpartei,410,2,348,1.7,x,x,357,1.6,410,2,-9,0
PIRATEN,x,x,62,0.3,309,1.4,250,1.1,-309,-1.4,-188,-0.8
Graue Panther,x,x,63,0.3,x,x,140,0.6,x,x,-77,-0.3
NPD,x,x,7,0,x,x,29,0.1,x,x,-22,-0.1
Gesundheitsforschung,x,x,32,0.2,x,x,45,0.2,x,x,-13,-0.1
LKR,19,0.1,9,0,x,x,115,0.5,19,0.1,-106,-0.5
DKP,x,x,10,0,x,x,14,0.1,x,x,-4,0
SGP,x,x,8,0,x,x,13,0.1,x,x,-5,0
BüSo,x,x,1,0,x,x,17,0.1,x,x,-16,-0.1
B*,x,x,9,0,x,x,x,x,x,x,9,0
ÖDP,x,x,20,0.1,x,x,x,x,x,x,20,0.1
dieBasis,123,0.6,101,0.5,x,x,x,x,123,0.6,101,0.5
Bildet Berlin!,x,x,10,0,x,x,x,x,x,x,10,0
Deutsche Konservative,x,x,2,0,x,x,x,x,x,x,2,0
Die Grauen,x,x,42,0.2,x,x,x,x,x,x,42,0.2
Neue Demokraten,x,x,14,0.1,x,x,x,x,x,x,14,0.1
du.,x,x,19,0.1,x,x,x,x,x,x,19,0.1
BÜNDNIS21,x,x,2,0,x,x,x,x,x,x,2,0
FREIE WÄHLER,72,0.3,31,0.1,x,x,x,x,72,0.3,31,0.1
Klimaliste Berlin,x,x,32,0.2,x,x,x,x,x,x,32,0.2
MIETERPARTEI,x,x,25,0.1,x,x,x,x,x,x,25,0.1
Die Humanisten,x,x,28,0.1,x,x,x,x,x,x,28,0.1
Team Todenhöfer,x,x,53,0.3,x,x,x,x,x,x,53,0.3
Volt,x,x,180,0.9,x,x,x,x,x,x,180,0.9
Sonstige,x,x,x,x,112,0.5,95,0.4,x,x,x,x
