feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,36304,x,36304,x,34088,x,34088,x,2216,x,2216,x
ohne Wahlschein,25372,69.9,25372,69.9,27313,80.1,27313,80.1,-1941,-10.2,-1941,-10.2
mit Wahlschein,10932,30.1,10932,30.1,6775,19.9,6775,19.9,4157,10.2,4157,10.2
Wählende,23692,65.3,23692,65.3,23682,69.5,23682,69.5,10,-4.2,10,-4.2
darunter Briefwählende,9860,41.6,9860,41.6,6326,26.7,6326,26.7,3534,14.9,3534,14.9
Abgegebene Stimmen,23675,x,23663,x,23667,x,23641,x,8,x,22,x
Ungültige Stimmen,211,0.9,195,0.8,403,1.7,394,1.7,-192,-0.8,-199,-0.8
Gültige Stimmen,23464,99.1,23468,99.2,23264,98.3,23247,98.3,200,0.8,221,0.8
SPD,5538,23.6,4212,17.9,6279,27,4691,20.2,-741,-3.4,-479,-2.2
CDU,6386,27.2,6656,28.4,3610,15.5,3298,14.2,2776,11.7,3358,14.2
GRÜNE,2359,10.1,2600,11.1,1909,8.2,1811,7.8,450,1.8,789,3.3
DIE LINKE,3275,14,3401,14.5,5313,22.8,5043,21.7,-2038,-8.9,-1642,-7.2
AfD,3232,13.8,3261,13.9,5016,21.6,4930,21.2,-1784,-7.8,-1669,-7.3
FDP,854,3.6,1011,4.3,x,x,1138,4.9,854,3.6,-127,-0.6
Die PARTEI,507,2.2,361,1.5,x,x,462,2,507,2.2,-101,-0.4
Tierschutzpartei,798,3.4,630,2.7,x,x,469,2,798,3.4,161,0.7
PIRATEN,x,x,70,0.3,543,2.3,309,1.3,-543,-2.3,-239,-1
Graue Panther,x,x,130,0.6,x,x,283,1.2,x,x,-153,-0.7
NPD,60,0.3,69,0.3,285,1.2,270,1.2,-225,-1,-201,-0.9
Gesundheitsforschung,x,x,74,0.3,x,x,163,0.7,x,x,-89,-0.4
LKR,27,0.1,10,0,x,x,91,0.4,27,0.1,-81,-0.3
DKP,x,x,57,0.2,x,x,68,0.3,x,x,-11,0
SGP,x,x,14,0.1,x,x,30,0.1,x,x,-16,-0.1
BüSo,x,x,10,0,x,x,33,0.1,x,x,-23,-0.1
B*,x,x,12,0.1,x,x,x,x,x,x,12,0.1
ÖDP,x,x,37,0.2,x,x,x,x,x,x,37,0.2
dieBasis,146,0.6,109,0.5,x,x,x,x,146,0.6,109,0.5
Bildet Berlin!,x,x,57,0.2,x,x,x,x,x,x,57,0.2
Die Grauen,x,x,169,0.7,x,x,x,x,x,x,169,0.7
du.,x,x,26,0.1,x,x,x,x,x,x,26,0.1
BÜNDNIS21,x,x,24,0.1,x,x,x,x,x,x,24,0.1
FREIE WÄHLER,282,1.2,118,0.5,x,x,x,x,282,1.2,118,0.5
Klimaliste Berlin,x,x,44,0.2,x,x,x,x,x,x,44,0.2
MIETERPARTEI,x,x,49,0.2,x,x,x,x,x,x,49,0.2
Die Humanisten,x,x,50,0.2,x,x,x,x,x,x,50,0.2
Team Todenhöfer,x,x,43,0.2,x,x,x,x,x,x,43,0.2
Volt,x,x,164,0.7,x,x,x,x,x,x,164,0.7
Sonstige,x,x,x,x,309,1.3,158,0.7,x,x,x,x
