feature,berlin_election_2023_first_votes,berlin_election_2023_first_votes_percentage,berlin_election_2023_second_votes,berlin_election_2023_second_votes_percentage,berlin_election_2016_first_votes,berlin_election_2016_first_votes_percentage,berlin_election_2016_second_votes,berlin_election_2016_second_votes_percentage,difference_first_votes,difference_first_votes_percentage,difference_second_votes,difference_second_votes_percentage
Wahlberechtigte,28541,x,28541,x,30853,x,30853,x,-2312,x,-2312,x
ohne Wahlschein,22124,77.5,22124,77.5,26056,84.5,26056,84.5,-3932,-6.9,-3932,-6.9
mit Wahlschein,6417,22.5,6417,22.5,4797,15.5,4797,15.5,1620,6.9,1620,6.9
Wählende,14372,50.4,14372,50.4,17809,57.7,17809,57.7,-3437,-7.4,-3437,-7.4
darunter Briefwählende,5675,39.5,5675,39.5,4463,25.1,4463,25.1,1212,14.4,1212,14.4
Abgegebene Stimmen,14361,x,14337,x,17620,x,17746,x,-3259,x,-3409,x
Ungültige Stimmen,202,1.4,186,1.3,450,2.6,414,2.3,-248,-1.1,-228,-1
Gültige Stimmen,14159,98.6,14151,98.7,17170,97.4,17332,97.7,-3011,1.1,-3181,1
SPD,3686,26,3259,23,6395,37.2,5308,30.6,-2709,-11.2,-2049,-7.6
CDU,4703,33.2,4795,33.9,3821,22.3,3729,21.5,882,11,1066,12.4
GRÜNE,1437,10.1,1384,9.8,1116,6.5,1366,7.9,321,3.6,18,1.9
DIE LINKE,724,5.1,787,5.6,1016,5.9,1288,7.4,-292,-0.8,-501,-1.9
AfD,1888,13.3,1818,12.8,3008,17.5,2996,17.3,-1120,-4.2,-1178,-4.4
FDP,517,3.7,535,3.8,889,5.2,959,5.5,-372,-1.5,-424,-1.8
Die PARTEI,298,2.1,215,1.5,366,2.1,264,1.5,-68,0,-49,0
Tierschutzpartei,719,5.1,583,4.1,x,x,433,2.5,719,5.1,150,1.6
PIRATEN,x,x,63,0.4,390,2.3,290,1.7,-390,-2.3,-227,-1.2
Graue Panther,x,x,94,0.7,x,x,264,1.5,x,x,-170,-0.9
NPD,x,x,13,0.1,x,x,129,0.7,x,x,-116,-0.7
Gesundheitsforschung,x,x,44,0.3,x,x,94,0.5,x,x,-50,-0.2
LKR,x,x,4,0,x,x,70,0.4,x,x,-66,-0.4
DKP,x,x,8,0.1,x,x,12,0.1,x,x,-4,0
SGP,x,x,9,0.1,x,x,14,0.1,x,x,-5,0
BüSo,x,x,8,0.1,x,x,13,0.1,x,x,-5,0
B*,x,x,4,0,x,x,x,x,x,x,4,0
ÖDP,39,0.3,22,0.2,x,x,x,x,39,0.3,22,0.2
dieBasis,112,0.8,57,0.4,x,x,x,x,112,0.8,57,0.4
Bildet Berlin!,x,x,23,0.2,x,x,x,x,x,x,23,0.2
Die Grauen,x,x,92,0.7,x,x,x,x,x,x,92,0.7
du.,x,x,13,0.1,x,x,x,x,x,x,13,0.1
BÜNDNIS21,36,0.3,10,0.1,x,x,x,x,36,0.3,10,0.1
FREIE WÄHLER,x,x,43,0.3,x,x,x,x,x,x,43,0.3
Klimaliste Berlin,x,x,17,0.1,x,x,x,x,x,x,17,0.1
MIETERPARTEI,x,x,51,0.4,x,x,x,x,x,x,51,0.4
Die Humanisten,x,x,28,0.2,x,x,x,x,x,x,28,0.2
Team Todenhöfer,x,x,72,0.5,x,x,x,x,x,x,72,0.5
Volt,x,x,100,0.7,x,x,x,x,x,x,100,0.7
Sonstige,x,x,x,x,169,1,103,0.6,x,x,x,x
